show_id,type,title,listed_in,description
81080769,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Dramas  Independent Movies  International Movies,"When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family."
70267838,Movie,20 Feet From Stardom,Documentaries  Music & Musicals,"Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support."
80211380,Movie,In Darkness,Independent Movies  International Movies  Thrillers,"A blind pianist fears for her life after the suspicious death of her neighbor, the daughter of a businessman accused of war crimes."
80196586,Movie,Gaga: Five Foot Two,Documentaries  Music & Musicals,"Follow pop provocateur Lady Gaga as she releases a new album, preps for her Super Bowl halftime show, and confronts physical and emotional struggles."
80099204,Movie,The Bad Batch,Dramas  Independent Movies  Thrillers,"Banished to a wasteland of undesirables, a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals."
80059432,Movie,SMOSH: The Movie,Comedies,"To keep his teen crush from spotting him in an embarrassing YouTube video, Anthony and his friend Ian must enter the virtual world and alter the clip."
81172721,Movie,King of Boys,Dramas  International Movies,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
81172727,Movie,Merry Men: The Real Yoruba Demons,Comedies  International Movies,"Four of the richest bachelors in Abuja, Nigeria enjoy a life of fast cars, palatial homes and female attention while concealing their true activities."
70153543,Movie,Sarah's Key,Dramas  International Movies,"Paris, 1942: To protect her brother from the police arresting Jewish families, a young girl hides him away, promising to come back for him."
81172728,Movie,The Wedding Party 2: Destination Dubai,Comedies  International Movies  Romantic Movies,"In this sequel to the 2016 hit ""The Wedding Party,"" a couple's date night ends in an accidental proposal, sparking a series of chaotic family events."
81095101,TV Show,Vagabond,International TV Shows  Korean TV Shows  TV Action & Adventure,"When his nephew dies in a plane crash, stunt man Cha Dal-geon resolves to find out what happened, with the help of covert operative Go Hae-ri."
80195173,TV Show,Battlefish,Reality TV  Science & Nature TV  TV Action & Adventure,"Over the course of a fishing season, tough men and women pursue lucrative albacore tuna in the competitive waters off the Oregon coast."
80241960,TV Show,DRAGON PILOT: Hisone & Masotan,Anime Series  International TV Shows,Recently stationed Air Self-Defense Force rookie Hisone Amakasu is chosen by a dragon concealed within Gifu Air Base to be his pilot.
80115346,TV Show,Hilda,Kids' TV,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city."
80124522,TV Show,Maniac,TV Comedies  TV Dramas  TV Mysteries,Two struggling strangers connect during a mind-bending pharmaceutical trial involving a doctor with mother issues and an emotionally complex computer.
80102952,Movie,Quincy,Documentaries  Music & Musicals,"This documentary profiles music and culture icon Quincy Jones, offering unprecedented access to his private life and stories from his unparalleled career."
80214464,Movie,Rafinha Bastos: Ultimatum,Stand-Up Comedy,"An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more, from his divorce to finding love again."
80157073,TV Show,The Good Cop,Crime TV Shows  TV Comedies  TV Dramas,"When he's not solving murders, a pathologically honest detective tries to keep an eye on his crooked but kindhearted dad."
80243600,Movie,Between Two Ferns: The Movie,Comedies,"Armed with awkward questions and zero self-awareness, Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show."
81020513,TV Show,Criminal: France,Crime TV Shows  International TV Shows  TV Dramas,"Secrets emerge and entire cases unravel inside a police interview room in Paris, where suspects and investigators face off in an intricate dance."
81020518,TV Show,Criminal: Germany,Crime TV Shows  International TV Shows  TV Dramas,"In the interview room, detectives go head-to-head with suspects and try to get to the truth – even if it means breaking the rules and risking it all."
81020523,TV Show,Criminal: Spain,Crime TV Shows  International TV Shows  Spanish-Language TV Shows,"Psychological games abound between detectives and suspects in a tense interrogation room, where the search for answers sometimes comes at a moral cost."
80216172,TV Show,Criminal: UK,British TV Shows  Crime TV Shows  International TV Shows,"Within the walls of an interrogation room and with time running out, London investigators go after three suspects, each accused of a grievous crime."
81122669,Movie,Daddy Issues,Dramas  Independent Movies  LGBTQ Movies,"Maya finally hooks up with her online dream girl, only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well."
80184771,TV Show,Inside Bill's Brain: Decoding Bill Gates,Docuseries  Science & Nature TV,Take a trip inside the mind of Bill Gates as the billionaire opens up about those who influenced him and the audacious goals he's still pursuing.
81000389,TV Show,The Hockey Girls,International TV Shows  TV Comedies  TV Dramas,"The passionate members of a girls' roller hockey team chase down victories in the rink while striving to make time for school, family and romance."
81132439,Movie,Travel Mates 2,Comedies  International Movies,"When struggling singer Onur decides to return to his old job, incurable klutz Şeref organizes a surprise tour full of pitfalls and mishaps."
81035117,Movie,True: Tricky Treat Day,Children & Family Movies,It's up to True and her friends to save the day when a hungry Yeti sneaks a forbidden treat and fills the kingdom with Howling Greenies.
